WR Doc ID,Water Quantity,Latitude,Longitude,Color
2127011,8.976,47.66989,-118.28327,red
2086572,10.0,47.72437,-120.33452,red
2277474,121.17600000000002,47.85084,-121.80666,red
2254297,0.0,47.4662,-122.06902,red
2222658,14810.4,46.82258,-122.30589,red
2049467,0.0,47.08039,-120.67699,red
2135296,224.4,48.92346,-118.73948,red
2092401,300.0,47.78025,-117.25067,red
2248509,0.0,48.41912,-122.60368,red
2244445,0.0,47.65779,-122.68227,red
2040361,2244.0,45.73175,-121.43506,red
2041646,1346.4,45.94664,-120.08452,red
4226082,0.0,47.89006,-117.546185,red
2176921,0.0,47.20743,-122.32737,red
2190351,0.0,46.42557,-124.04497,red
2093394,448.8,48.73338,-118.69345,red
2177921,0.0,46.49758,-124.04416,red
2254053,0.0,47.55554,-122.53539,red
4258269,269.28,46.04771,-118.61949,red
2251426,0.0,47.84211,-122.21741,red
2135254,224.4,48.93779,-118.73964,red
2236211,0.0,48.15923,-122.281,red
2251146,0.0,47.16294,-121.96325,red
2203484,0.0,46.8005,-123.0449,red
2140980,400.0,46.95439,-118.62384,red
2091326,100.0,47.65031,-117.67938,red
2182584,0.0,47.06129,-122.70647,red
2139378,1100.0,47.07091,-119.97486,red
2048712,0.0,48.01287,-118.98474,red
2175109,0.0,45.80159,-122.363,red
2178540,0.0,47.39629,-122.62049,red
2083743,120.0,45.72882,-120.9604,red
2251744,0.0,47.71559,-122.63878,red
2207024,224.4,46.54263,-121.97999,red
2149722,4488.0,47.54361,-123.07262,red
2202513,0.0,47.06154,-122.85467,red
2050938,0.0,46.32433,-119.96862,red
2055559,0.0,47.36973,-120.20791,red
6009393,89.76,46.022065,-118.37304,blue
4201608,47.0,46.02394,-118.32012,blue
6775003,200.0,48.86746,-122.30151,red
2104684,0.0,46.15814,-118.56478,red
2206235,0.0,48.10846,-123.51476,red
2088523,0.0,48.9934,-119.70191,red
2161852,0.0,48.10874,-123.24343,red
6256195,88.0,47.20811,-119.99729,red
2190512,0.0,45.80136,-122.67197,red
2278250,11.0,48.28107,-122.28889,red
2121190,4.9368,47.1499,-118.06415,red
2183942,0.0,47.1634,-122.98108,red
2172575,0.0,47.36733,-122.6421,red
2189388,0.0,45.7576,-122.73354,red
2080256,0.0,47.48726,-120.73795,red
2239185,0.0,48.3336,-121.99898,red
4169820,13.464,46.07306,-118.28111,blue
2170644,0.0,47.19412,-123.1511,red
4646871,987360.0,45.92322,-119.43281,red
2250553,0.0,48.27552,-122.06481,red
2127577,112.2,48.35039,-117.85016,red
2263166,0.0,47.6719,-122.51031,red
2269337,0.0,48.9281,-122.6493,red
2282789,4.488,48.67236,-122.39747,red
2204740,0.0,48.12082,-123.68893,red
2283240,300.0,46.65824,-120.64662,red
2240738,0.0,47.37965,-122.13355,red
2064468,0.0,46.64366,-120.60434,red
2268413,0.0,48.37755,-122.32447,red
2149605,4.488,46.22104,-122.89638,red
6801817,42.0,47.94148,-122.68988,red
2264569,0.0,47.33796,-122.49282,red
2108144,0.0,48.54643,-117.98978,red
2106578,9.8736,47.72223,-117.18617,red
2110170,13.0,46.84717,-119.07946,red
2054977,0.0,47.62048,-120.64364,red
2219942,500.0,47.18942,-122.28225,red
2113693,0.0,47.82348,-117.57238,red
2286158,44.88,47.63037,-122.569,red
2139600,100.0,47.92311,-118.6868,red
6802277,170.544,46.05574,-118.67149,red
2244926,0.0,47.55561,-122.55668,red
2094189,160.0,47.72216,-117.37912,red
2186434,0.0,47.07518,-122.41103,red
2225889,44.88,47.40887,-122.30263,red
2111214,0.0,47.3414,-117.96166,red
2169613,0.0,46.58399,-123.10687,red
2173624,0.0,46.29347,-122.89621,red
6086846,1000.0,47.15269,-122.34926,red
2078624,112.2,46.29025,-119.49922,red
2049085,1.0,45.83056,-120.39766,red
2052003,10.0,48.8494,-119.17642,red
2113962,0.0,48.54744,-117.81362,red
2032175,10.0,48.49786,-122.21232,red
2052243,0.0,46.70226,-120.68911,red
2096201,10.0,46.331,-117.07001,blue
2179220,0.0,46.2936,-122.85521,red
2216258,20.0,46.02362,-122.78592,red
2152997,224400.0,47.72888,-123.13224,red
2190364,0.0,45.83049,-122.61008,red
2246737,0.0,47.437,-122.02641,red
2120344,0.0,46.81879,-117.38248,blue
2234597,0.0,47.7445,-122.63881,red
2207867,17.952,46.42361,-122.83485,red
2111799,0.0,47.60426,-117.57523,red
2278439,3.0,47.60138,-122.5362,red
2088883,31.416000000000004,48.70503,-117.39703,red
2226097,790.0,47.3797,-122.19712,red
2144696,630.0,47.22645,-119.28811,red
2250081,0.0,47.41065,-122.64198,red
2259332,0.0,47.7121,-122.3017,red
2246210,0.0,47.77078,-121.48627,red
2037050,0.0,46.00749,-121.56025,red
2069854,0.0,46.58431,-120.3935,red
4689958,30.0,47.29142,-121.10199,red
2100792,0.0,47.85139,-117.16395,red
2207806,287.232,47.23738,-122.23731,red
2277928,1032.24,47.42483,-122.20974,red
2056701,10.0,46.23651,-119.96825,red
2102252,0.0,48.24552,-118.1883,red
2209498,26.928,46.51124,-122.85606,red
2091115,89.76,46.02756,-118.3358,blue
